"Gene","baseMean","log2FoldChange","pvalue","padj","label","Significant","Regulation"
"ENSG00000126768.12_TIMM17B",359.513603642372,-2.77968348513711,3.52208927315229e-95,5.17711902260655e-91,"","FDR < 0.05, |FC|>2","Downregulated (FC < 0.5)"
"ENSG00000135074.15_ADAM19",2434.95615158651,-1.4768237951185,5.28183938680788e-82,3.88188785733445e-78,"","FDR < 0.05, |FC|>2","Downregulated (FC < 0.5)"
"ENSG00000184216.11_IRAK1",1325.42644343707,-2.3727940049637,2.50675369345083e-81,1.22822575133446e-77,"IRAK1","FDR < 0.05, |FC|>2","Downregulated (FC < 0.5)"
"ENSG00000100065.14_CARD10",1330.5928860369,-2.5784896882619,4.00647892475843e-69,1.47228084287561e-65,"CARD10","FDR < 0.05, |FC|>2","Downregulated (FC < 0.5)"
"ENSG00000126391.13_FRMD8",899.081546418467,-1.8087181243524,1.70744020335961e-53,5.01953270983657e-50,"","FDR < 0.05, |FC|>2","Downregulated (FC < 0.5)"
"ENSG00000134339.8_SAA2",1253.35146670896,-2.82933523442822,4.88783329420024e-49,1.19743769319082e-45,"","FDR < 0.05, |FC|>2","Downregulated (FC < 0.5)"
"ENSG00000100647.7_SUSD6",1036.80294311914,-1.16567887494542,2.0707266104729e-48,4.34823006390588e-45,"","FDR < 0.05, |FC|>2","Downregulated (FC < 0.5)"
"ENSG00000150593.15_PDCD4",3121.95765113274,1.26856275417857,4.02778330397274e-45,7.40054834813692e-42,"","FDR < 0.05, |FC|>2","Upregulated (FC > 2)"
"ENSG00000140382.14_HMG20A",391.327614936583,-1.2627322107596,4.65265481990116e-42,7.5988192441919e-39,"","FDR < 0.05, |FC|>2","Downregulated (FC < 0.5)"
"ENSG00000145901.14_TNIP1",2345.29939031873,-1.05946320545639,2.53365779219941e-41,3.72422358875391e-38,"","FDR < 0.05, |FC|>2","Downregulated (FC < 0.5)"
"ENSG00000008282.7_SYPL1",3917.92657876395,0.808553163380472,7.22132309392231e-39,9.64965710523309e-36,"","Not Sig","NS"
"ENSG00000111012.9_CYP27B1",175.452664150766,-1.86206243507609,3.93511115433175e-38,4.82018323812687e-35,"","FDR < 0.05, |FC|>2","Downregulated (FC < 0.5)"
"ENSG00000149428.18_HYOU1",974.149883050917,-1.749087849618,1.24768586847526e-37,1.41074881390137e-34,"","FDR < 0.05, |FC|>2","Downregulated (FC < 0.5)"
"ENSG00000102893.15_PHKB",902.491744258723,-1.89398226299333,2.06814937282769e-37,2.02664850874628e-34,"","FDR < 0.05, |FC|>2","Downregulated (FC < 0.5)"
"ENSG00000110583.12_NAA40",381.155154491315,-1.56384584916232,1.99803736348865e-37,2.02664850874628e-34,"","FDR < 0.05, |FC|>2","Downregulated (FC < 0.5)"
"ENSG00000112679.14_DUSP22",269.524985850165,-2.00570053448618,3.04881217651434e-37,2.80090563641152e-34,"","FDR < 0.05, |FC|>2","Downregulated (FC < 0.5)"
"ENSG00000163558.12_PRKCI",1264.26414320951,-1.10747347929067,3.05154352533994e-35,2.63850813405716e-32,"","FDR < 0.05, |FC|>2","Downregulated (FC < 0.5)"
"ENSG00000124641.14_MED20",331.022373349509,-1.68442658260811,3.89929726789244e-35,3.18420947448616e-32,"","FDR < 0.05, |FC|>2","Downregulated (FC < 0.5)"
"ENSG00000154511.11_FAM69A",528.498356102831,1.27087337707259,4.49971706100871e-35,3.48112321472458e-32,"","FDR < 0.05, |FC|>2","Upregulated (FC > 2)"
"ENSG00000139921.12_TMX1",1248.92576056581,-1.1236953623119,1.01948844827106e-34,7.49273035056817e-32,"","FDR < 0.05, |FC|>2","Downregulated (FC < 0.5)"
"ENSG00000115365.11_LANCL1",1228.06130781534,-1.03691828090946,2.33628517958639e-34,1.63528837403525e-31,"","FDR < 0.05, |FC|>2","Downregulated (FC < 0.5)"
"ENSG00000126903.15_SLC10A3",347.389154427399,-1.95479067749805,2.54349799057308e-33,1.6994034983379e-30,"","FDR < 0.05, |FC|>2","Downregulated (FC < 0.5)"
"ENSG00000166881.9_NEMP1",260.846429890114,-1.93694080836949,1.87080742415509e-32,1.19560862294155e-29,"","FDR < 0.05, |FC|>2","Downregulated (FC < 0.5)"
"ENSG00000198612.10_COPS8",1288.92962451894,-0.801677980700589,2.00306128509705e-32,1.22679157623506e-29,"","Not Sig","NS"
"ENSG00000176871.8_WSB2",696.757050080573,-1.32238227326576,5.52662410956183e-32,3.24943391145797e-29,"","FDR < 0.05, |FC|>2","Downregulated (FC < 0.5)"
"ENSG00000173456.4_RNF26",621.578235657492,-0.854074351245832,1.02155812296224e-30,5.77533955747001e-28,"","Not Sig","NS"
"ENSG00000052723.11_SIKE1",696.106259055513,-1.08925356469049,2.47397932250648e-28,1.34685266894529e-25,"","FDR < 0.05, |FC|>2","Downregulated (FC < 0.5)"
"ENSG00000114019.14_AMOTL2",1197.04044031029,-0.99833125300334,4.36177498809677e-28,2.28977609107266e-25,"","Not Sig","NS"
"ENSG00000136003.15_ISCU",1278.4163608117,1.01510176161325,1.57337356192003e-27,7.97483378850431e-25,"","FDR < 0.05, |FC|>2","Upregulated (FC > 2)"
"ENSG00000135698.9_MPHOSPH6",913.893551897748,-1.56891084998954,4.07193748169671e-27,1.995113634782e-24,"","FDR < 0.05, |FC|>2","Downregulated (FC < 0.5)"
"ENSG00000074416.13_MGLL",1337.10967399696,-1.46338185149998,4.97038952912098e-27,2.35676631253385e-24,"","FDR < 0.05, |FC|>2","Downregulated (FC < 0.5)"
"ENSG00000133961.19_NUMB",1762.00357613307,-1.2362597629043,5.8840072028007e-27,2.70278193356148e-24,"NUMB","FDR < 0.05, |FC|>2","Downregulated (FC < 0.5)"
